id,input,output
11,"2023年全国各省GDP排名前8：广东135673亿、江苏128222亿、山东92069亿、浙江82553亿、河南59132亿、四川60133亿、湖北55803亿、福建54355亿。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_11"",""subtype"":""bar"",""title"":""2023年全国GDP前8省份（亿元）"",""data"":{""广东"":135673,""江苏"":128222,""山东"":92069,""浙江"":82553,""四川"":60133,""河南"":59132,""湖北"":55803,""福建"":54355}}]"
12,"手机品牌市场占有率：苹果27%、三星20%、小米14%、OPPO 10%、vivo 9%、华为8%、其他12%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_12"",""subtype"":""pie"",""title"":""全球手机品牌市场占有率"",""data"":{""苹果"":27,""三星"":20,""小米"":14,""OPPO"":10,""vivo"":9,""华为"":8,""其他"":12}}]"
13,"某工厂各车间月产量：一车间8500件、二车间7200件、三车间9100件、四车间6800件、五车间7600件。请用柱状图对比。","[{""type"":""chart"",""chartId"":""chart_13"",""subtype"":""bar"",""title"":""各车间月产量对比（件）"",""data"":{""一车间"":8500,""二车间"":7200,""三车间"":9100,""四车间"":6800,""五车间"":7600}}]"
14,"网站各页面访问量：首页50000次、产品页32000次、关于我们8000次、博客18000次、联系页面5000次。请用柱状图展示访问量排名。","[{""type"":""chart"",""chartId"":""chart_14"",""subtype"":""bar"",""title"":""网站各页面访问量（次）"",""data"":{""首页"":50000,""产品页"":32000,""博客"":18000,""关于我们"":8000,""联系页面"":5000}}]"
15,"学生各科平均成绩：语文85分、数学92分、英语78分、物理88分、化学82分、生物90分。请用柱状图展示。同时请用饼图展示各科分数占比。","[{""type"":""chart"",""chartId"":""chart_15a"",""subtype"":""bar"",""title"":""学生各科平均成绩（分）"",""data"":{""语文"":85,""数学"":92,""英语"":78,""物理"":88,""化学"":82,""生物"":90}},{""type"":""chart"",""chartId"":""chart_15b"",""subtype"":""pie"",""title"":""各科分数占比"",""data"":{""语文"":85,""数学"":92,""英语"":78,""物理"":88,""化学"":82,""生物"":90}}]"
16,"近一年房价走势（元/㎡）：1月35000、2月34800、3月35200、4月35800、5月36100、6月35500、7月34900、8月35200、9月35800、10月36500、11月37000、12月37500。请用折线图展示。","[{""type"":""chart"",""chartId"":""chart_16"",""subtype"":""line"",""title"":""近一年房价走势（元/㎡）"",""data"":{""1月"":35000,""2月"":34800,""3月"":35200,""4月"":35800,""5月"":36100,""6月"":35500,""7月"":34900,""8月"":35200,""9月"":35800,""10月"":36500,""11月"":37000,""12月"":37500}}]"
17,"公司各项费用支出：人力成本450万、办公租金120万、研发投入280万、营销费用150万、设备采购90万、差旅费用60万。请用饼图展示费用构成。","[{""type"":""chart"",""chartId"":""chart_17"",""subtype"":""pie"",""title"":""公司各项费用支出构成（万元）"",""data"":{""人力成本"":450,""研发投入"":280,""营销费用"":150,""办公租金"":120,""设备采购"":90,""差旅费用"":60}}]"
18,"2024年上半年App日活用户数（万）：1月150、2月145、3月168、4月182、5月195、6月210。请用折线图展示增长趋势。","[{""type"":""chart"",""chartId"":""chart_18"",""subtype"":""line"",""title"":""2024年上半年App日活用户数（万）"",""data"":{""1月"":150,""2月"":145,""3月"":168,""4月"":182,""5月"":195,""6月"":210}}]"
19,"不同年龄段网购偏好占比：18-25岁偏好服饰鞋包45%、数码产品30%、美妆护肤25%；26-35岁偏好家居用品35%、食品生鲜28%、母婴用品20%；36-45岁偏好家电30%、保健品25%、图书20%。请用柱状图对比。","[{""type"":""chart"",""chartId"":""chart_19"",""subtype"":""bar"",""title"":""不同年龄段网购偏好占比（%）"",""data"":{""18-25岁-服饰鞋包"":45,""18-25岁-数码产品"":30,""26-35岁-家居用品"":35,""26-35岁-食品生鲜"":28,""36-45岁-家电"":30,""36-45岁-保健品"":25}}]"
20,"全球能源消费结构：石油31%、天然气24%、煤炭27%、核能4%、水电7%、可再生能源7%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_20"",""subtype"":""pie"",""title"":""全球能源消费结构"",""data"":{""石油"":31,""天然气"":24,""煤炭"":27,""可再生能源"":7,""水电"":7,""核能"":4}}]"
21,"各季度营收与利润对比：Q1营收5000万利润800万、Q2营收6200万利润1100万、Q3营收5800万利润950万、Q4营收7500万利润1500万。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_21a"",""subtype"":""bar"",""title"":""各季度营收对比（万元）"",""data"":{""Q1"":5000,""Q2"":6200,""Q3"":5800,""Q4"":7500}},{""type"":""chart"",""chartId"":""chart_21b"",""subtype"":""bar"",""title"":""各季度利润对比（万元）"",""data"":{""Q1"":800,""Q2"":1100,""Q3"":950,""Q4"":1500}}]"
22,"医院各科室门诊量：内科12500人次、外科8300人次、儿科9800人次、妇产科6200人次、骨科4500人次、眼科3200人次、皮肤科2800人次。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_22"",""subtype"":""bar"",""title"":""医院各科室月门诊量（人次）"",""data"":{""内科"":12500,""外科"":8300,""儿科"":9800,""妇产科"":6200,""骨科"":4500,""眼科"":3200,""皮肤科"":2800}}]"
23,"过去一周股票每日收盘价：周一25.30元、周二25.80元、周三24.90元、周四25.50元、周五26.20元。请用折线图展示。","[{""type"":""chart"",""chartId"":""chart_23"",""subtype"":""line"",""title"":""过去一周股票收盘价（元）"",""data"":{""周一"":25.30,""周二"":25.80,""周三"":24.90,""周四"":25.50,""周五"":26.20}}]"
24,"某餐厅各菜品销量：宫保鸡丁380份、麻婆豆腐290份、水煮鱼250份、回锅肉220份、鱼香肉丝310份、糖醋里脊180份。请用柱状图展示热销排行。","[{""type"":""chart"",""chartId"":""chart_24"",""subtype"":""bar"",""title"":""餐厅菜品销量排行（份）"",""data"":{""宫保鸡丁"":380,""鱼香肉丝"":310,""麻婆豆腐"":290,""水煮鱼"":250,""回锅肉"":220,""糖醋里脊"":180}}]"
25,"程序员薪资水平分布：初级（0-3年）平均8k-15k取12k、中级（3-5年）15k-25k取20k、高级（5-8年）25k-40k取32k、资深（8年以上）40k-60k取50k。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_25"",""subtype"":""bar"",""title"":""程序员不同级别平均薪资（千元）"",""data"":{""初级(0-3年)"":12,""中级(3-5年)"":20,""高级(5-8年)"":32,""资深(8年+)"":50}}]"
26,"2024年各月快递业务量（亿件）：1月90、2月75、3月105、4月110、5月118、6月125、7月130、8月135、9月128、10月140、11月165、12月180。请用折线图展示全年走势。","[{""type"":""chart"",""chartId"":""chart_26"",""subtype"":""line"",""title"":""2024年月度快递业务量（亿件）"",""data"":{""1月"":90,""2月"":75,""3月"":105,""4月"":110,""5月"":118,""6月"":125,""7月"":130,""8月"":135,""9月"":128,""10月"":140,""11月"":165,""12月"":180}}]"
27,"各国新冠疫苗接种率：阿联酋98%、中国92%、以色列88%、英国75%、美国65%、印度55%、巴西50%、日本78%。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_27"",""subtype"":""bar"",""title"":""各国新冠疫苗接种率（%）"",""data"":{""阿联酋"":98,""中国"":92,""以色列"":88,""日本"":78,""英国"":75,""美国"":65,""印度"":55,""巴西"":50}}]"
28,"家庭月均消费结构：食品30%、住房25%、交通10%、教育15%、医疗8%、娱乐7%、其他5%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_28"",""subtype"":""pie"",""title"":""家庭月均消费结构"",""data"":{""食品"":30,""住房"":25,""教育"":15,""交通"":10,""医疗"":8,""娱乐"":7,""其他"":5}}]"
29,"各编程语言使用率：Python 28%、JavaScript 22%、Java 16%、C/C++ 12%、TypeScript 8%、Go 5%、Rust 3%、其他6%。请用饼图展示。同时请用柱状图对比。","[{""type"":""chart"",""chartId"":""chart_29a"",""subtype"":""pie"",""title"":""编程语言使用率占比"",""data"":{""Python"":28,""JavaScript"":22,""Java"":16,""C/C++"":12,""TypeScript"":8,""Go"":5,""Rust"":3,""其他"":6}},{""type"":""chart"",""chartId"":""chart_29b"",""subtype"":""bar"",""title"":""编程语言使用率对比（%）"",""data"":{""Python"":28,""JavaScript"":22,""Java"":16,""C/C++"":12,""TypeScript"":8,""Go"":5,""Rust"":3,""其他"":6}}]"
30,"某项目各阶段实际耗时与计划耗时对比：需求分析实际2周计划1.5周、设计实际3周计划2周、开发实际8周计划6周、测试实际3周计划4周、部署实际1周计划1周。请用柱状图对比。","[{""type"":""chart"",""chartId"":""chart_30"",""subtype"":""bar"",""title"":""项目各阶段耗时对比（周）"",""data"":{""需求分析-实际"":2,""需求分析-计划"":1.5,""设计-实际"":3,""设计-计划"":2,""开发-实际"":8,""开发-计划"":6,""测试-实际"":3,""测试-计划"":4,""部署-实际"":1,""部署-计划"":1}}]"
31,"全国各地市降雨量排名前6：广州1850mm、海口1650mm、深圳1520mm、上海1200mm、成都1050mm、北京580mm。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_31"",""subtype"":""bar"",""title"":""全国主要城市年降雨量（mm）"",""data"":{""广州"":1850,""海口"":1650,""深圳"":1520,""上海"":1200,""成都"":1050,""北京"":580}}]"
32,"公司员工年龄分布：20-25岁120人、26-30岁280人、31-35岁350人、36-40岁200人、41-45岁100人、46岁以上50人。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_32"",""subtype"":""bar"",""title"":""公司员工年龄分布（人）"",""data"":{""20-25岁"":120,""26-30岁"":280,""31-35岁"":350,""36-40岁"":200,""41-45岁"":100,""46岁+""":50}}]"
33,"五种支付方式使用占比：微信支付45%、支付宝40%、银行卡8%、现金5%、其他2%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_33"",""subtype"":""pie"",""title"":""支付方式使用占比"",""data"":{""微信支付"":45,""支付宝"":40,""银行卡"":8,""现金"":5,""其他"":2}}]"
34,"2024年各季度云服务市场规模（亿美元）：Q1 650、Q2 720、Q3 780、Q4 850。请用折线图展示增长趋势。","[{""type"":""chart"",""chartId"":""chart_34"",""subtype"":""line"",""title"":""2024年云服务市场规模趋势（亿美元）"",""data"":{""Q1"":650,""Q2"":720,""Q3"":780,""Q4"":850}}]"
35,"图书馆各类图书借阅量：文学类8500册、科技类6200册、历史类4300册、经济类3800册、艺术类2100册、教育类3500册。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_35"",""subtype"":""bar"",""title"":""图书馆各类图书借阅量（册）"",""data"":{""文学类"":8500,""科技类"":6200,""历史类"":4300,""经济类"":3800,""教育类"":3500,""艺术类"":2100}}]"
36,"三个班级期中考试平均分对比：一班语文82数学88英语75、二班语文79数学85英语80、三班语文85数学90英语72。请用柱状图展示各科成绩对比。","[{""type"":""chart"",""chartId"":""chart_36"",""subtype"":""bar"",""title"":""三班级期中各科平均分"",""data"":{""一班-语文"":82,""二班-语文"":79,""三班-语文"":85,""一班-数学"":88,""二班-数学"":85,""三班-数学"":90,""一班-英语"":75,""二班-英语"":80,""三班-英语"":72}}]"
37,"2024年新能源汽车销量TOP5：比亚迪302万辆、特斯拉95万辆、广汽埃安48万辆、理想38万辆、蔚来25万辆。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_37"",""subtype"":""bar"",""title"":""2024年新能源汽车销量TOP5（万辆）"",""data"":{""比亚迪"":302,""特斯拉"":95,""广汽埃安"":48,""理想"":38,""蔚来"":25}}]"
38,"某APP各功能模块使用时长占比：聊天45%、朋友圈25%、视频15%、小程序10%、其他5%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_38"",""subtype"":""pie"",""title"":""APP各功能模块使用时长占比"",""data"":{""聊天"":45,""朋友圈"":25,""视频"":15,""小程序"":10,""其他"":5}}]"
39,"近30天网站日均UV变化：第1周3200、第2周3500、第3周3800、第4周4100。请用折线图展示。","[{""type"":""chart"",""chartId"":""chart_39"",""subtype"":""line"",""title"":""近30天网站日均UV变化"",""data"":{""第1周"":3200,""第2周"":3500,""第3周"":3800,""第4周"":4100}}]"
40,"各大洲人口分布：亚洲47亿、非洲14亿、欧洲7.5亿、北美洲5.8亿、南美洲4.3亿、大洋洲0.45亿。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_40"",""subtype"":""pie"",""title"":""各大洲人口分布（亿）"",""data"":{""亚洲"":47,""非洲"":14,""欧洲"":7.5,""北美洲"":5.8,""南美洲"":4.3,""大洋洲"":0.45}}]"
41,"某物流公司各线路日均运单量：北京-上海8500单、北京-广州6200单、上海-深圳7800单、北京-成都4500单、上海-杭州5200单。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_41"",""subtype"":""bar"",""title"":""物流各线路日均运单量（单）"",""data"":{""北京-上海"":8500,""上海-深圳"":7800,""北京-广州"":6200,""上海-杭州"":5200,""北京-成都"":4500}}]"
42,"过去12个月通货膨胀率（%）：1月2.1、2月1.8、3月1.5、4月1.2、5月0.8、6月0.5、7月-0.3、8月-0.1、9月0.2、10月0.5、11月0.8、12月1.0。请用折线图展示走势。","[{""type"":""chart"",""chartId"":""chart_42"",""subtype"":""line"",""title"":""过去12个月通货膨胀率（%）"",""data"":{""1月"":2.1,""2月"":1.8,""3月"":1.5,""4月"":1.2,""5月"":0.8,""6月"":0.5,""7月"":-0.3,""8月"":-0.1,""9月"":0.2,""10月"":0.5,""11月"":0.8,""12月"":1.0}}]"
43,"五种咖啡品牌市场份额：星巴克38%、瑞幸25%、Costa 12%、Manner 8%、Tims 5%、其他12%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_43"",""subtype"":""pie"",""title"":""中国咖啡品牌市场份额"",""data"":{""星巴克"":38,""瑞幸"":25,""Costa"":12,""其他"":12,""Manner"":8,""Tims"":5}}]"
44,"各年龄段日均手机使用时长：0-18岁3.2小时、18-25岁5.8小时、26-35岁4.5小时、36-45岁3.8小时、46-55岁2.5小时、55岁以上1.8小时。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_44"",""subtype"":""bar"",""title"":""各年龄段日均手机使用时长（小时）"",""data"":{""0-18岁"":3.2,""18-25岁"":5.8,""26-35岁"":4.5,""36-45岁"":3.8,""46-55岁"":2.5,""55岁+""":1.8}}]"
45,"2024年各月外汇储备规模（万亿美元）：1月3.22、2月3.21、3月3.24、4月3.20、5月3.19、6月3.22、7月3.25、8月3.28、9月3.30、10月3.28、11月3.26、12月3.24。请用折线图展示。","[{""type"":""chart"",""chartId"":""chart_45"",""subtype"":""line"",""title"":""2024年各月外汇储备规模（万亿美元）"",""data"":{""1月"":3.22,""2月"":3.21,""3月"":3.24,""4月"":3.20,""5月"":3.19,""6月"":3.22,""7月"":3.25,""8月"":3.28,""9月"":3.30,""10月"":3.28,""11月"":3.26,""12月"":3.24}}]"
46,"企业微信、钉钉、飞书三款办公软件功能评分对比（满分10分）：易用性分别为8.5/7.8/8.2、稳定性分别为9.0/8.5/8.0、功能丰富度分别为7.5/9.0/8.8、性价比分别为7.0/8.2/7.5。请用柱状图对比。","[{""type"":""chart"",""chartId"":""chart_46"",""subtype"":""bar"",""title"":""办公软件功能评分对比（满分10分）"",""data"":{""企业微信-易用性"":8.5,""钉钉-易用性"":7.8,""飞书-易用性"":8.2,""企业微信-稳定性"":9.0,""钉钉-稳定性"":8.5,""飞书-稳定性"":8.0}}]"
47,"中国互联网用户规模变化（亿人）：2018年8.29、2019年9.04、2020年9.89、2021年10.32、2022年10.67、2023年10.93、2024年11.15。请用折线图展示增长趋势。","[{""type"":""chart"",""chartId"":""chart_47"",""subtype"":""line"",""title"":""中国互联网用户规模变化（亿人）"",""data"":{""2018年"":8.29,""2019年"":9.04,""2020年"":9.89,""2021年"":10.32,""2022年"":10.67,""2023年"":10.93,""2024年"":11.15}}]"
48,"各类型视频内容播放量占比：搞笑娱乐32%、知识科普18%、游戏电竞15%、美食探店13%、生活Vlog12%、其他10%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_48"",""subtype"":""pie"",""title"":""视频内容类型播放量占比"",""data"":{""搞笑娱乐"":32,""知识科普"":18,""游戏电竞"":15,""美食探店"":13,""生活Vlog"":12,""其他"":10}}]"
49,"某SaaS产品各版本订阅用户数：免费版15000人、基础版8000人、专业版4500人、企业版1200人。请用柱状图展示。同时用饼图展示用户占比。","[{""type"":""chart"",""chartId"":""chart_49a"",""subtype"":""bar"",""title"":""SaaS产品各版本订阅用户数（人）"",""data"":{""免费版"":15000,""基础版"":8000,""专业版"":4500,""企业版"":1200}},{""type"":""chart"",""chartId"":""chart_49b"",""subtype"":""pie"",""title"":""各版本用户占比"",""data"":{""免费版"":15000,""基础版"":8000,""专业版"":4500,""企业版"":1200}}]"
50,"2024年各月PM2.5空气质量指数：1月95、2月82、3月68、4月52、5月45、6月38、7月42、8月40、9月48、10月65、11月80、12月98。请用折线图展示空气质量变化。","[{""type"":""chart"",""chartId"":""chart_50"",""subtype"":""line"",""title"":""2024年月度PM2.5指数"",""data"":{""1月"":95,""2月"":82,""3月"":68,""4月"":52,""5月"":45,""6月"":38,""7月"":42,""8月"":40,""9月"":48,""10月"":65,""11月"":80,""12月"":98}}]"
51,"中国五大商业银行2023年净利润：工商银行3640亿、建设银行3325亿、农业银行2693亿、中国银行2390亿、交通银行928亿。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_51"",""subtype"":""bar"",""title"":""五大商业银行2023年净利润（亿元）"",""data"":{""工商银行"":3640,""建设银行"":3325,""农业银行"":2693,""中国银行"":2390,""交通银行"":928}}]"
52,"线上教育各学科课程数量：数学320门、英语280门、语文200门、物理150门、编程180门、美术90门、音乐75门。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_52"",""subtype"":""bar"",""title"":""线上教育各学科课程数量（门）"",""data"":{""数学"":320,""英语"":280,""语文"":200,""编程"":180,""物理"":150,""美术"":90,""音乐"":75}}]"
53,"某城市地铁各线路日均客运量：1号线125万人次、2号线98万人次、3号线85万人次、4号线72万人次、5号线68万人次。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_53"",""subtype"":""bar"",""title"":""地铁各线路日均客运量（万人次）"",""data"":{""1号线"":125,""2号线"":98,""3号线"":85,""4号线"":72,""5号线"":68}}]"
54,"社交媒体用户年龄分布：13-17岁8%、18-24岁28%、25-34岁33%、35-44岁18%、45-54岁9%、55岁以上4%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_54"",""subtype"":""pie"",""title"":""社交媒体用户年龄分布"",""data"":{""25-34岁"":33,""18-24岁"":28,""35-44岁"":18,""13-17岁"":8,""45-54岁"":9,""55岁+""":4}}]"
55,"过去8周产品bug数量变化：第1周45个、第2周38个、第3周42个、第4周30个、第5周25个、第6周20个、第7周18个、第8周15个。请用折线图展示修复趋势。","[{""type"":""chart"",""chartId"":""chart_55"",""subtype"":""line"",""title"":""过去8周产品bug数量变化（个）"",""data"":{""第1周"":45,""第2周"":38,""第3周"":42,""第4周"":30,""第5周"":25,""第6周"":20,""第7周"":18,""第8周"":15}}]"
56,"世界主要城市生活成本指数（纽约=100）：纽约100、伦敦88、东京82、上海65、北京62、深圳58、孟买35。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_56"",""subtype"":""bar"",""title"":""世界主要城市生活成本指数（纽约=100）"",""data"":{""纽约"":100,""伦敦"":88,""东京"":82,""上海"":65,""北京"":62,""深圳"":58,""孟买"":35}}]"
57,"企业年度招聘需求按岗位分类：开发工程师120人、产品经理30人、设计师25人、运营专员35人、销售代表50人、客服专员40人。请用柱状图展示。同时用饼图展示岗位占比。","[{""type"":""chart"",""chartId"":""chart_57a"",""subtype"":""bar"",""title"":""企业年度招聘需求（人）"",""data"":{""开发工程师"":120,""销售代表"":50,""客服专员"":40,""运营专员"":35,""产品经理"":30,""设计师"":25}},{""type"":""chart"",""chartId"":""chart_57b"",""subtype"":""pie"",""title"":""招聘岗位占比"",""data"":{""开发工程师"":120,""销售代表"":50,""客服专员"":40,""运营专员"":35,""产品经理"":30,""设计师"":25}}]"
58,"2024年全球半导体营收TOP5：三星半导体680亿美元、英特尔540亿美元、台积电480亿美元、SK海力士380亿美元、高通320亿美元。请用柱状图展示。","[{""type"":""chart"",""chartId"":""chart_58"",""subtype"":""bar"",""title"":""2024年全球半导体营收TOP5（亿美元）"",""data"":{""三星半导体"":680,""英特尔"":540,""台积电"":480,""SK海力士"":380,""高通"":320}}]"
59,"健身App用户运动偏好统计：跑步42%、瑜伽18%、力量训练20%、游泳8%、骑行7%、其他5%。请用饼图展示。","[{""type"":""chart"",""chartId"":""chart_59"",""subtype"":""pie"",""title"":""健身App用户运动偏好"",""data"":{""跑步"":42,""力量训练"":20,""瑜伽"":18,""游泳"":8,""骑行"":7,""其他"":5}}]"
60,"某电商平台双11各时段成交额（亿元）：0-1点1200、1-2点800、2-3点500、3-4点350、4-5点280、5-6点320、6-7点450、7-8点580、8-9点650、9-10点700、10-11点680、11-12点620。请用折线图展示成交额变化。","[{""type"":""chart"",""chartId"":""chart_60"",""subtype"":""line"",""title"":""双11各时段成交额（亿元）"",""data"":{""0-1点"":1200,""1-2点"":800,""2-3点"":500,""3-4点"":350,""4-5点"":280,""5-6点"":320,""6-7点"":450,""7-8点"":580,""8-9点"":650,""9-10点"":700,""10-11点"":680,""11-12点"":620}}]"
