id,input,output
11,"2022年中国进口总额18.4万亿元，出口总额23.8万亿元；2023年进口17.9万亿元，出口23.5万亿元；2024年进口18.6万亿元，出口25.1万亿元。其中对东盟的贸易额2022年为6.5万亿元，2023年为6.9万亿元，2024年为7.3万亿元。对欧盟的贸易额2022年为5.6万亿元，2023年为5.5万亿元，2024年为5.8万亿元。","[{""type"":""chart"",""chartId"":""chart_c11a"",""subtype"":""bar"",""title"":""2022-2024年中国进出口总额（万亿元）"",""data"":{""2022进口"":18.4,""2022出口"":23.8,""2023进口"":17.9,""2023出口"":23.5,""2024进口"":18.6,""2024出口"":25.1}},{""type"":""chart"",""chartId"":""chart_c11b"",""subtype"":""bar"",""title"":""2022-2024年对主要贸易伙伴贸易额（万亿元）"",""data"":{""东盟-2022"":6.5,""东盟-2023"":6.9,""东盟-2024"":7.3,""欧盟-2022"":5.6,""欧盟-2023"":5.5,""欧盟-2024"":5.8}}]"
12,"北京全年降水量580mm，日照时数2600小时，平均气温13°C；上海降水量1200mm，日照时数1800小时，平均气温17°C；广州降水量1850mm，日照时数1600小时，平均气温23°C；成都降水量1050mm，日照时数1100小时，平均气温17°C；哈尔滨降水量530mm，日照时数2400小时，平均气温5°C。","[{""type"":""chart"",""chartId"":""chart_c12a"",""subtype"":""bar"",""title"":""主要城市全年降水量（mm）"",""data"":{""广州"":1850,""上海"":1200,""成都"":1050,""北京"":580,""哈尔滨"":530}},{""type"":""chart"",""chartId"":""chart_c12b"",""subtype"":""bar"",""title"":""主要城市全年日照时数（小时）"",""data"":{""北京"":2600,""哈尔滨"":2400,""上海"":1800,""广州"":1600,""成都"":1100}}]"
13,"项目Alpha总预算500万已花费420万剩余80万，项目Beta总预算350万已花费280万剩余70万，项目Gamma总预算600万已花费510万剩余90万，项目Delta总预算200万已花费195万剩余5万。项目Alpha计划周期12个月已过10个月，项目Beta计划周期8个月已过7个月，项目Gamma计划周期15个月已过8个月，项目Delta计划周期6个月已过6个月。","[{""type"":""chart"",""chartId"":""chart_c13a"",""subtype"":""bar"",""title"":""各项目预算使用情况（万元）"",""data"":{""Alpha已花费"":420,""Alpha剩余"":80,""Beta已花费"":280,""Beta剩余"":70,""Gamma已花费"":510,""Gamma剩余"":90,""Delta已花费"":195,""Delta剩余"":5}},{""type"":""chart"",""chartId"":""chart_c13b"",""subtype"":""bar"",""title"":""各项目进度（月）"",""data"":{""Alpha已过"":10,""Alpha总计划"":12,""Beta已过"":7,""Beta总计划"":8,""Gamma已过"":8,""Gamma总计划"":15,""Delta已过"":6,""Delta总计划"":6}}]"
14,"食堂午餐各窗口排队人数：面食窗口22人、米饭套餐窗口45人、麻辣烫窗口38人、饺子窗口18人、煎饼窗口15人。各窗口满意度评分（满分5分）：面食4.2分、米饭套餐3.8分、麻辣烫4.5分、饺子4.0分、煎饼4.3分。各窗口客单价：面食12元、米饭套餐18元、麻辣烫22元、饺子15元、煎饼8元。","[{""type"":""chart"",""chartId"":""chart_c14a"",""subtype"":""bar"",""title"":""食堂各窗口排队人数（人）"",""data"":{""米饭套餐"":45,""麻辣烫"":38,""面食"":22,""饺子"":18,""煎饼"":15}},{""type"":""chart"",""chartId"":""chart_c14b"",""subtype"":""bar"",""title"":""食堂各窗口满意度评分（满分5分）"",""data"":{""麻辣烫"":4.5,""煎饼"":4.3,""面食"":4.2,""饺子"":4.0,""米饭套餐"":3.8}}]"
15,"一号仓库面积8000平米存放SKU数量12000个库存周转天数25天，二号仓库面积5000平米存放SKU数量8500个库存周转天数30天，三号仓库面积12000平米存放SKU数量18000个库存周转天数20天，四号仓库面积3000平米存放SKU数量5000个库存周转天数40天。","[{""type"":""chart"",""chartId"":""chart_c15a"",""subtype"":""bar"",""title"":""各仓库面积（平米）"",""data"":{""三号仓库"":12000,""一号仓库"":8000,""二号仓库"":5000,""四号仓库"":3000}},{""type"":""chart"",""chartId"":""chart_c15b"",""subtype"":""bar"",""title"":""各仓库库存周转天数（天）"",""data"":{""四号仓库"":40,""二号仓库"":30,""一号仓库"":25,""三号仓库"":20}}]"
16,"公司2023年研发人员120人平均薪酬2.8万/月，销售人员80人平均薪酬1.5万/月加提成，运营人员50人平均薪酬1.2万/月。2024年研发人员155人平均薪酬3.0万/月，销售人员95人平均薪酬1.6万/月加提成，运营人员65人平均薪酬1.3万/月。","[{""type"":""chart"",""chartId"":""chart_c16a"",""subtype"":""bar"",""title"":""2023与2024年各部门人数对比（人）"",""data"":{""研发-2023"":120,""研发-2024"":155,""销售-2023"":80,""销售-2024"":95,""运营-2023"":50,""运营-2024"":65}},{""type"":""chart"",""chartId"":""chart_c16b"",""subtype"":""bar"",""title"":""2023与2024年各部门平均月薪（万元）"",""data"":{""研发-2023"":2.8,""研发-2024"":3.0,""销售-2023"":1.5,""销售-2024"":1.6,""运营-2023"":1.2,""运营-2024"":1.3}}]"
17,"小麦2024年种植面积2450万亩产量980万吨，玉米种植面积3200万亩产量1440万吨，水稻种植面积2800万亩产量1400万吨，大豆种植面积1200万亩产量240万吨，棉花种植面积600万亩产量54万吨。这些作物2023年种植面积分别为2400、3100、2750、1100、580万亩，产量分别为960、1395、1375、220、50万吨。","[{""type"":""chart"",""chartId"":""chart_c17a"",""subtype"":""bar"",""title"":""2023与2024年主要作物产量对比（万吨）"",""data"":{""小麦-2023"":960,""小麦-2024"":980,""玉米-2023"":1395,""玉米-2024"":1440,""水稻-2023"":1375,""水稻-2024"":1400,""大豆-2023"":220,""大豆-2024"":240,""棉花-2023"":50,""棉花-2024"":54}},{""type"":""chart"",""chartId"":""chart_c17b"",""subtype"":""bar"",""title"":""2023与2024年主要作物种植面积对比（万亩）"",""data"":{""小麦-2023"":2400,""小麦-2024"":2450,""玉米-2023"":3100,""玉米-2024"":3200,""水稻-2023"":2750,""水稻-2024"":2800,""大豆-2023"":1100,""大豆-2024"":1200,""棉花-2023"":580,""棉花-2024"":600}}]"
18,"小区A共480户已入住450户车位配比1:1.2物业费2.8元/㎡，小区B共320户已入住310户车位配比1:0.8物业费2.2元/㎡，小区C共650户已入住580户车位配比1:1.5物业费3.5元/㎡，小区D共200户已入住195户车位配比1:1.0物业费1.8元/㎡。","[{""type"":""chart"",""chartId"":""chart_c18a"",""subtype"":""bar"",""title"":""各小区总户数与已入住户数（户）"",""data"":{""A总户数"":480,""A已入住"":450,""B总户数"":320,""B已入住"":310,""C总户数"":650,""C已入住"":580,""D总户数"":200,""D已入住"":195}},{""type"":""chart"",""chartId"":""chart_c18b"",""subtype"":""bar"",""title"":""各小区物业费（元/㎡）"",""data"":{""小区C"":3.5,""小区A"":2.8,""小区B"":2.2,""小区D"":1.8}}]"
19,"2024年1-6月全国客运量：1月6.2亿人次、2月5.8亿人次、3月7.1亿人次、4月7.5亿人次、5月8.0亿人次、6月7.8亿人次。同期货运量为1月42亿吨、2月38亿吨、3月45亿吨、4月48亿吨、5月50亿吨、6月47亿吨。去年1-6月客运量分别为5.5、5.0、6.2、6.8、7.2、7.0亿人次，货运量分别为39、35、41、44、46、43亿吨。","[{""type"":""chart"",""chartId"":""chart_c19a"",""subtype"":""line"",""title"":""2024年1-6月全国客运量（亿人次）"",""data"":{""1月"":6.2,""2月"":5.8,""3月"":7.1,""4月"":7.5,""5月"":8.0,""6月"":7.8}},{""type"":""chart"",""chartId"":""chart_c19b"",""subtype"":""line"",""title"":""2024年1-6月全国货运量（亿吨）"",""data"":{""1月"":42,""2月"":38,""3月"":45,""4月"":48,""5月"":50,""6月"":47}}]"
20,"腾讯2024年Q1营收1595亿净利润426亿，Q2营收1611亿净利润476亿，Q3营收1672亿净利润532亿，Q4营收1780亿净利润582亿。阿里同期Q1营收2218亿净利润243亿，Q2营收2432亿净利润402亿，Q3营收2365亿净利润438亿，Q4营收2603亿净利润481亿。","[{""type"":""chart"",""chartId"":""chart_c20a"",""subtype"":""bar"",""title"":""腾讯2024年各季度营收与净利润（亿元）"",""data"":{""Q1营收"":1595,""Q1净利"":426,""Q2营收"":1611,""Q2净利"":476,""Q3营收"":1672,""Q3净利"":532,""Q4营收"":1780,""Q4净利"":582}},{""type"":""chart"",""chartId"":""chart_c20b"",""subtype"":""bar"",""title"":""阿里2024年各季度营收与净利润（亿元）"",""data"":{""Q1营收"":2218,""Q1净利"":243,""Q2营收"":2432,""Q2净利"":402,""Q3营收"":2365,""Q3净利"":438,""Q4营收"":2603,""Q4净利"":481}}]"
